File: torb
Type: cpu
Time: Sep 15, 2018 at 8:48am (UTC)
Duration: 1mins, Total samples = 69.66s (115.71%)
Showing nodes accounting for 57.20s, 82.11% of 69.66s total
Dropped 686 nodes (cum <= 0.35s)
      flat  flat%   sum%        cum   cum%
     0.08s  0.11% 80.07%      0.49s   0.7%  runtime.(*mspan).sweep
     0.07s   0.1% 80.18%      0.39s  0.56%  bytes.(*Buffer).WriteString
     0.07s   0.1% 80.28%     13.80s 19.81%  database/sql.(*Rows).Next.func1
     0.07s   0.1% 80.38%      0.85s  1.22%  github.com/go-sql-driver/mysql.(*mysqlConn).readPacket
     0.07s   0.1% 80.48%      5.83s  8.37%  main.getEvent
     0.07s   0.1% 80.58%      0.36s  0.52%  sort.insertionSort_func
     0.06s 0.086% 80.66%      0.82s  1.18%  encoding/json.(*structEncoder).encode
     0.06s 0.086% 80.75%      3.27s  4.69%  github.com/go-sql-driver/mysql.parseDateTime
     0.06s 0.086% 80.84%      2.61s  3.75%  runtime.gcDrainN
     0.05s 0.072% 80.91%      0.78s  1.12%  github.com/go-sql-driver/mysql.(*buffer).readNext
     0.05s 0.072% 80.98%      0.80s  1.15%  main.GetReservedUserAndTime
     0.05s 0.072% 81.05%      0.69s  0.99%  runtime.convT2E64
     0.05s 0.072% 81.12%      2.83s  4.06%  runtime.wbBufFlush.func1
     0.05s 0.072% 81.19%      3.42s  4.91%  time.Time.Format
     0.04s 0.057% 81.25%      0.83s  1.19%  encoding/json.(*ptrEncoder).encode
     0.04s 0.057% 81.31%      3.74s  5.37%  fmt.Sprintf
     0.04s 0.057% 81.37%      0.73s  1.05%  github.com/go-sql-driver/mysql.(*buffer).fill
     0.04s 0.057% 81.42%      2.87s  4.12%  runtime.wbBufFlush
     0.03s 0.043% 81.47%     15.61s 22.41%  database/sql.withLock
     0.03s 0.043% 81.51%      0.93s  1.34%  fmt.(*fmt).padString
     0.03s 0.043% 81.55%      0.69s  0.99%  fmt.(*pp).fmtInteger
     0.03s 0.043% 81.60%      1.04s  1.49%  fmt.(*pp).fmtString
     0.03s 0.043% 81.64%      0.74s  1.06%  internal/poll.(*FD).Read
     0.03s 0.043% 81.68%      0.59s  0.85%  reflect.unsafe_New
     0.03s 0.043% 81.73%      0.39s  0.56%  runtime.(*mspan).markBitsForIndex (inline)
     0.03s 0.043% 81.77%      2.44s  3.50%  runtime.growslice
     0.02s 0.029% 81.80%      0.73s  1.05%  database/sql.(*DB).queryDC
     0.02s 0.029% 81.83%      0.77s  1.11%  reflect.New
     0.02s 0.029% 81.85%      1.25s  1.79%  runtime.(*mheap).alloc
     0.02s 0.029% 81.88%      0.43s  0.62%  runtime.mcall
     0.02s 0.029% 81.91%      0.36s  0.52%  runtime.schedule
     0.02s 0.029% 81.94%      2.21s  3.17%  sort.quickSort_func
     0.01s 0.014% 81.96%      0.83s  1.19%  encoding/json.(*ptrEncoder).encode-fm
     0.01s 0.014% 81.97%      0.82s  1.18%  encoding/json.(*structEncoder).encode-fm
     0.01s 0.014% 81.98%      1.01s  1.45%  fmt.(*fmt).fmtS
     0.01s 0.014% 82.00%      0.36s  0.52%  html/template.(*Template).ExecuteTemplate
     0.01s 0.014% 82.01%      7.93s 11.38%  main.renderReportCSV
     0.01s 0.014% 82.03%      1.56s  2.24%  runtime.(*mcache).nextFree
     0.01s 0.014% 82.04%      1.46s  2.10%  runtime.(*mcache).refill
     0.01s 0.014% 82.06%      1.03s  1.48%  runtime.(*mcentral).grow
     0.01s 0.014% 82.07%      0.67s  0.96%  runtime.convT2E
     0.01s 0.014% 82.08%      2.62s  3.76%  runtime.gcAssistAlloc
     0.01s 0.014% 82.10%      0.61s  0.88%  syscall.read
     0.01s 0.014% 82.11%      0.35s   0.5%  text/template.(*state).walk
         0     0% 82.11%      0.89s  1.28%  database/sql.(*DB).QueryContext
         0     0% 82.11%      0.69s  0.99%  database/sql.(*DB).QueryRow
         0     0% 82.11%      0.69s  0.99%  database/sql.(*DB).QueryRowContext
         0     0% 82.11%      0.89s  1.28%  database/sql.(*DB).query
         0     0% 82.11%      0.80s  1.15%  encoding/json.(*arrayEncoder).encode
         0     0% 82.11%      0.80s  1.15%  encoding/json.(*arrayEncoder).encode-fm
         0     0% 82.11%      0.84s  1.21%  encoding/json.(*encodeState).marshal
         0     0% 82.11%      0.84s  1.21%  encoding/json.(*encodeState).reflectValue
         0     0% 82.11%      0.80s  1.15%  encoding/json.(*mapEncoder).encode
         0     0% 82.11%      0.80s  1.15%  encoding/json.(*mapEncoder).encode-fm
         0     0% 82.11%      0.80s  1.15%  encoding/json.(*sliceEncoder).encode
         0     0% 82.11%      0.80s  1.15%  encoding/json.(*sliceEncoder).encode-fm
         0     0% 82.11%      0.90s  1.29%  encoding/json.Marshal
         0     0% 82.11%      0.76s  1.09%  github.com/go-sql-driver/mysql.(*mysqlConn).writePacket
         0     0% 82.11%      0.40s  0.57%  github.com/gorilla/sessions.(*CookieStore).Get
         0     0% 82.11%      0.35s   0.5%  github.com/gorilla/sessions.(*Registry).Get
         0     0% 82.11%      0.40s  0.57%  github.com/labstack/echo-contrib/session.Get
         0     0% 82.11%     55.74s 80.02%  github.com/labstack/echo-contrib/session.MiddlewareWithConfig.func1.1
         0     0% 82.11%     55.60s 79.82%  github.com/labstack/echo.(*Echo).Add.func1
         0     0% 82.11%     55.77s 80.06%  github.com/labstack/echo.(*Echo).ServeHTTP
         0     0% 82.11%      0.85s  1.22%  github.com/labstack/echo.(*context).JSON
         0     0% 82.11%      0.44s  0.63%  github.com/labstack/echo.(*context).Render
         0     0% 82.11%     55.73s 80.00%  github.com/labstack/echo/middleware.LoggerWithConfig.func2.1
         0     0% 82.11%      1.05s  1.51%  internal/poll.(*FD).Write
         0     0% 82.11%      0.36s  0.52%  main.(*Renderer).Render
         0     0% 82.11%     34.49s 49.51%  main.adminLoginRequired.func1
